instance,timestamp,value
10.100.252.157:9100,1716876840.858,39.962569856950545
10.100.252.157:9100,1716876841.858,39.962569856950545
10.100.252.157:9100,1716876842.858,39.962569856950545
10.100.252.157:9100,1716876843.858,39.962569856950545
10.100.252.157:9100,1716876844.858,39.962569856950545
10.100.252.157:9100,1716876845.858,39.962569856950545
10.100.252.157:9100,1716876846.858,39.962569856950545
10.100.252.157:9100,1716876847.858,39.962569856950545
10.100.252.157:9100,1716876848.858,39.962569856950545
10.100.252.157:9100,1716876849.858,39.962569856950545
10.100.252.157:9100,1716876850.858,39.962569856950545
10.100.252.157:9100,1716876851.858,39.962569856950545
10.100.252.157:9100,1716876852.858,39.962569856950545
10.100.252.157:9100,1716876853.858,39.962569856950545
10.100.252.157:9100,1716876854.858,39.962569856950545
10.100.252.157:9100,1716876855.858,39.962569856950545
10.100.252.157:9100,1716876856.858,39.962569856950545
10.100.252.157:9100,1716876857.858,39.962569856950545
10.100.252.157:9100,1716876858.858,39.962569856950545
10.100.252.157:9100,1716876859.858,39.962569856950545
10.100.252.157:9100,1716876860.858,39.962569856950545
10.100.252.157:9100,1716876861.858,39.962569856950545
10.100.252.157:9100,1716876862.858,39.962569856950545
10.100.252.157:9100,1716876863.858,39.962569856950545
10.100.252.157:9100,1716876864.858,39.962569856950545
10.100.252.157:9100,1716876865.858,39.962569856950545
10.100.252.157:9100,1716876866.858,39.962569856950545
10.100.252.157:9100,1716876867.858,39.962569856950545
10.100.252.157:9100,1716876868.858,39.962569856950545
10.100.252.157:9100,1716876869.858,40.16739702715982
10.100.252.157:9100,1716876870.858,40.16739702715982
10.100.252.157:9100,1716876871.858,40.16739702715982
10.100.252.157:9100,1716876872.858,40.16739702715982
10.100.252.157:9100,1716876873.858,40.16739702715982
10.100.252.157:9100,1716876874.858,40.16739702715982
10.100.252.157:9100,1716876875.858,40.16739702715982
10.100.252.157:9100,1716876876.858,40.16739702715982
10.100.252.157:9100,1716876877.858,40.16739702715982
10.100.252.157:9100,1716876878.858,40.16739702715982
10.100.252.157:9100,1716876879.858,40.16739702715982
10.100.252.157:9100,1716876880.858,40.16739702715982
10.100.252.157:9100,1716876881.858,40.16739702715982
10.100.252.157:9100,1716876882.858,40.16739702715982
10.100.252.157:9100,1716876883.858,40.16739702715982
10.100.252.157:9100,1716876884.858,40.16739702715982
10.100.252.157:9100,1716876885.858,40.16739702715982
10.100.252.157:9100,1716876886.858,40.16739702715982
10.100.252.157:9100,1716876887.858,40.16739702715982
10.100.252.157:9100,1716876888.858,40.16739702715982
10.100.252.157:9100,1716876889.858,40.16739702715982
10.100.252.157:9100,1716876890.858,40.16739702715982
10.100.252.157:9100,1716876891.858,40.16739702715982
10.100.252.157:9100,1716876892.858,40.16739702715982
10.100.252.157:9100,1716876893.858,40.16739702715982
10.100.252.157:9100,1716876894.858,40.16739702715982
10.100.252.157:9100,1716876895.858,40.16739702715982
10.100.252.157:9100,1716876896.858,40.16739702715982
10.100.252.157:9100,1716876897.858,40.16739702715982
10.100.252.157:9100,1716876898.858,40.16739702715982
10.100.252.157:9100,1716876899.858,39.95957384763495
10.100.252.157:9100,1716876900.858,39.95957384763495
10.100.252.157:9100,1716876901.858,39.95957384763495
10.100.252.157:9100,1716876902.858,39.95957384763495
10.100.252.157:9100,1716876903.858,39.95957384763495
10.100.252.157:9100,1716876904.858,39.95957384763495
10.100.252.157:9100,1716876905.858,39.95957384763495
10.100.252.157:9100,1716876906.858,39.95957384763495
10.100.252.157:9100,1716876907.858,39.95957384763495
10.100.252.157:9100,1716876908.858,39.95957384763495
10.100.252.157:9100,1716876909.858,39.95957384763495
10.100.252.157:9100,1716876910.858,39.95957384763495
10.100.252.157:9100,1716876911.858,39.95957384763495
10.100.252.157:9100,1716876912.858,39.95957384763495
10.100.252.157:9100,1716876913.858,39.95957384763495
10.100.252.157:9100,1716876914.858,39.95957384763495
10.100.252.157:9100,1716876915.858,39.95957384763495
10.100.252.157:9100,1716876916.858,39.95957384763495
10.100.252.157:9100,1716876917.858,39.95957384763495
10.100.252.157:9100,1716876918.858,39.95957384763495
10.100.252.157:9100,1716876919.858,39.95957384763495
10.100.252.157:9100,1716876920.858,39.95957384763495
10.100.252.157:9100,1716876921.858,39.95957384763495
10.100.252.157:9100,1716876922.858,39.95957384763495
10.100.252.157:9100,1716876923.858,39.95957384763495
10.100.252.157:9100,1716876924.858,39.95957384763495
10.100.252.157:9100,1716876925.858,39.95957384763495
10.100.252.157:9100,1716876926.858,39.95957384763495
10.100.252.157:9100,1716876927.858,39.95957384763495
10.100.252.157:9100,1716876928.858,39.95957384763495
10.100.252.157:9100,1716876929.858,40.03936756240687
10.100.252.157:9100,1716876930.858,40.03936756240687
10.100.252.157:9100,1716876931.858,40.03936756240687
10.100.252.157:9100,1716876932.858,40.03936756240687
10.100.252.157:9100,1716876933.858,40.03936756240687
10.100.252.157:9100,1716876934.858,40.03936756240687
10.100.252.157:9100,1716876935.858,40.03936756240687
10.100.252.157:9100,1716876936.858,40.03936756240687
10.100.252.157:9100,1716876937.858,40.03936756240687
10.100.252.157:9100,1716876938.858,40.03936756240687
10.100.252.157:9100,1716876939.858,40.03936756240687
10.100.252.157:9100,1716876940.858,40.03936756240687
10.100.252.157:9100,1716876941.858,40.03936756240687
10.100.252.157:9100,1716876942.858,40.03936756240687
10.100.252.157:9100,1716876943.858,40.03936756240687
10.100.252.157:9100,1716876944.858,40.03936756240687
10.100.252.157:9100,1716876945.858,40.03936756240687
10.100.252.157:9100,1716876946.858,40.03936756240687
10.100.252.157:9100,1716876947.858,40.03936756240687
10.100.252.157:9100,1716876948.858,40.03936756240687
10.100.252.157:9100,1716876949.858,40.03936756240687
10.100.252.157:9100,1716876950.858,40.03936756240687
10.100.252.157:9100,1716876951.858,40.03936756240687
10.100.252.157:9100,1716876952.858,40.03936756240687
10.100.252.157:9100,1716876953.858,40.03936756240687
10.100.252.157:9100,1716876954.858,40.03936756240687
10.100.252.157:9100,1716876955.858,40.03936756240687
10.100.252.157:9100,1716876956.858,40.03936756240687
10.100.252.157:9100,1716876957.858,40.03936756240687
10.100.252.157:9100,1716876958.858,40.03936756240687
10.100.252.157:9100,1716876959.858,40.425053828300705
10.100.252.157:9100,1716876960.858,40.425053828300705
10.100.252.157:9100,1716876961.858,40.425053828300705
10.100.252.157:9100,1716876962.858,40.425053828300705
10.100.252.157:9100,1716876963.858,40.425053828300705
10.100.252.157:9100,1716876964.858,40.425053828300705
10.100.252.157:9100,1716876965.858,40.425053828300705
10.100.252.157:9100,1716876966.858,40.425053828300705
10.100.252.157:9100,1716876967.858,40.425053828300705
10.100.252.157:9100,1716876968.858,40.425053828300705
10.100.252.157:9100,1716876969.858,40.425053828300705
10.100.252.157:9100,1716876970.858,40.425053828300705
10.100.252.157:9100,1716876971.858,40.425053828300705
10.100.252.157:9100,1716876972.858,40.425053828300705
10.100.252.157:9100,1716876973.858,40.425053828300705
10.100.252.157:9100,1716876974.858,40.425053828300705
10.100.252.157:9100,1716876975.858,40.425053828300705
10.100.252.157:9100,1716876976.858,40.425053828300705
10.100.252.157:9100,1716876977.858,40.425053828300705
10.100.252.157:9100,1716876978.858,40.425053828300705
10.100.252.157:9100,1716876979.858,40.425053828300705
10.100.252.157:9100,1716876980.858,40.425053828300705
10.100.252.157:9100,1716876981.858,40.425053828300705
10.100.252.157:9100,1716876982.858,40.425053828300705
10.100.252.157:9100,1716876983.858,40.425053828300705
10.100.252.157:9100,1716876984.858,40.425053828300705
10.100.252.157:9100,1716876985.858,40.425053828300705
10.100.252.157:9100,1716876986.858,40.425053828300705
10.100.252.157:9100,1716876987.858,40.425053828300705
10.100.252.157:9100,1716876988.858,40.425053828300705
10.100.252.157:9100,1716876989.858,40.61809669520199
10.100.252.157:9100,1716876990.858,40.61809669520199
10.100.252.157:9100,1716876991.858,40.61809669520199
10.100.252.157:9100,1716876992.858,40.61809669520199
10.100.252.157:9100,1716876993.858,40.61809669520199
10.100.252.157:9100,1716876994.858,40.61809669520199
10.100.252.157:9100,1716876995.858,40.61809669520199
10.100.252.157:9100,1716876996.858,40.61809669520199
10.100.252.157:9100,1716876997.858,40.61809669520199
10.100.252.157:9100,1716876998.858,40.61809669520199
10.100.252.157:9100,1716876999.858,40.61809669520199
10.100.252.157:9100,1716877000.858,40.61809669520199
10.100.252.157:9100,1716877001.858,40.61809669520199
10.100.252.157:9100,1716877002.858,40.61809669520199
