namespace,container,pod,timestamp,value
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830214.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830215.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830216.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830217.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830218.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830219.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830220.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830221.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830222.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830223.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830224.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830225.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830226.89,1.2869539638182084
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830227.89,0.9359372701867923
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830228.89,0.9144880374564888
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830229.89,0.8930388047261852
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830231.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830232.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830233.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830234.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830235.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830236.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830237.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830238.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830239.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830240.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830241.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830242.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830243.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830244.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830245.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830246.89,0.9866650720564493
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830247.89,0.9866650720564493
